IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,49258,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,11559,6728,84,94,1700986829765,1700987080464
17,10.215.173.1,23867,10.215.173.2,53,10334,Instagram,DNS,Closed,gateway.instagram.com,67,115,1,1,1700986829768,1700986829805
17,10.215.173.1,21214,10.215.173.2,53,10334,Instagram,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,1700986829771,1700986829800
6,10.215.173.1,49266,157.240.22.2,443,10334,Instagram,TLS,Closed,gateway.instagram.com,7386,4018,41,43,1700986829773,1700987080464
6,10.215.173.1,42574,157.240.22.12,443,10334,Instagram,HTTPS,Closed,edge-mqtt.facebook.com,8783,10878,48,48,1700986829776,1700987080464
17,10.215.173.1,62278,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1700986829989,1700986830028
6,10.215.173.1,46428,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1813,689,11,11,1700986830033,1700986899326
17,10.215.173.1,51144,157.240.11.52,443,10334,Instagram,UDP,Closed,,1656,228,2,1,1700986830961,1700986830991
17,10.215.173.1,33687,31.13.70.52,443,10334,Instagram,QUIC,Closed,,125555,10194,136,62,1700986831047,1700986915768
17,10.215.173.1,19782,10.215.173.2,53,10334,Instagram,DNS,Closed,graph.instagram.com,65,110,1,1,1700986831054,1700986831090
17,10.215.173.1,44417,31.13.70.52,443,10334,Instagram,UDP,Closed,,4577,1279,6,5,1700986831239,1700986831311
17,10.215.173.1,60553,157.240.11.52,443,10334,Instagram,QUIC,Closed,graph.instagram.com,64726,235897,123,298,1700986831283,1700986900753
6,10.215.173.1,35106,157.240.11.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,874,879,9,9,1700986831290,1700986896458
17,10.215.173.1,37925,10.215.173.2,53,10334,Instagram,DNS,Closed,i.instagram.com,61,106,1,1,1700986831294,1700986831330
6,10.215.173.1,35122,157.240.11.52,443,10334,Instagram,HTTPS,Closed,i.instagram.com,834,839,8,8,1700986831297,1700986896458
17,10.215.173.1,46944,157.240.22.63,443,10334,Instagram,UDP,Closed,,561,68,2,1,1700986836415,1700986836439
17,10.215.173.1,29384,10.215.173.2,53,10334,Instagram,DNS,Closed,cdn.fbsbx.com,59,110,1,1,1700986836424,1700986836461
6,10.215.173.1,36300,157.240.22.25,443,10334,Instagram,HTTPS,Closed,cdn.fbsbx.com,2054,8014,19,18,1700986836426,1700986901475
17,10.215.173.1,40634,157.240.22.63,443,10334,Instagram,QUIC,Closed,,564474,55844472,4775,44887,1700986836431,1700986973061
17,10.215.173.1,58046,10.215.173.2,53,10334,Instagram,DNS,Closed,scontent-sjc3-1.cdninstagram.com,78,94,1,1,1700986836433,1700986836469
17,10.215.173.1,14353,10.215.173.2,53,10334,Instagram,DNS,Closed,video.cdninstagram.com,68,107,1,1,1700986840478,1700986840517
17,10.215.173.1,44134,157.240.22.63,443,10334,Instagram,QUIC,Closed,scontent-sjc3-1.cdninstagram.com,3496,127645,15,107,1700986840481,1700986840888
17,10.215.173.1,46925,10.215.173.2,53,10334,Instagram,DNS,Closed,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,1700986900341,1700986900386
6,10.215.173.1,45182,157.240.22.175,5222,10334,Instagram,TCP,Closed,z-p42-chat-e2ee-ig.facebook.com,1813,609,11,9,1700986900392,1700986965322
6,10.215.173.1,56496,157.240.22.25,443,10334,Instagram,HTTPS,Closed,cdn.fbsbx.com,1856,8105,15,15,1700986915098,1700986975630
