"No.","Time","Source","Destination","Protocol","Length","Info"
"57","9.216270","192.168.0.89","192.168.0.222","TCP","78","50898  >  7000 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2750558074 TSecr=0 SACK_PERM"
"58","9.216823","192.168.0.222","192.168.0.89","TCP","78","7000  >  50898 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 TSval=1078634944 TSecr=2750558074 SACK_PERM"
"59","9.226166","192.168.0.89","192.168.0.222","TCP","66","50898  >  7000 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2750558154 TSecr=1078634944"
"60","9.226168","192.168.0.89","192.168.0.222","TCP","107","50898  >  7000 [PSH, ACK] Seq=1 Ack=1 Win=131712 Len=41 TSval=2750558154 TSecr=1078634944 [TCP segment of a reassembled PDU]"
"61","9.226489","192.168.0.222","192.168.0.89","TCP","66","7000  >  50898 [ACK] Seq=1 Ack=42 Win=131712 Len=0 TSval=1078634954 TSecr=2750558154"
"62","9.257378","192.168.0.222","192.168.0.89","TCP","1514","7000  >  50898 [ACK] Seq=1 Ack=42 Win=131712 Len=1448 TSval=1078634985 TSecr=2750558154 [TCP segment of a reassembled PDU]"
"63","9.257507","192.168.0.222","192.168.0.89","TCP","310","7000  >  50898 [PSH, ACK] Seq=1449 Ack=42 Win=131712 Len=244 TSval=1078634985 TSecr=2750558154 [TCP segment of a reassembled PDU]"
"64","9.262461","192.168.0.89","192.168.0.222","TCP","66","50898  >  7000 [ACK] Seq=42 Ack=1693 Win=130048 Len=0 TSval=2750558192 TSecr=1078634985"
"65","9.262842","192.168.0.89","192.168.0.222","TCP","66","50898  >  7000 [FIN, ACK] Seq=42 Ack=1693 Win=131072 Len=0 TSval=2750558192 TSecr=1078634985"
"66","9.262958","192.168.0.222","192.168.0.89","TCP","66","7000  >  50898 [ACK] Seq=1693 Ack=43 Win=131712 Len=0 TSval=1078634990 TSecr=2750558192"
"67","9.263138","192.168.0.222","192.168.0.89","TCP","66","7000  >  50898 [FIN, ACK] Seq=1693 Ack=43 Win=131712 Len=0 TSval=1078634990 TSecr=2750558192"
"68","9.273111","192.168.0.89","192.168.0.222","TCP","66","50898  >  7000 [ACK] Seq=43 Ack=1694 Win=131072 Len=0 TSval=2750558199 TSecr=1078634990"
"812","99.530610","192.168.0.89","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"7715","230.705767","192.168.0.89","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"8930","348.773874","192.168.0.89","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"12075","392.951694","192.168.0.89","192.168.0.222","TCP","78","50902  >  7000 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=479139423 TSecr=0 SACK_PERM"
"12076","392.951877","192.168.0.222","192.168.0.89","TCP","78","7000  >  50902 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 TSval=1544198455 TSecr=479139423 SACK_PERM"
"12077","392.962397","192.168.0.89","192.168.0.222","TCP","66","50902  >  7000 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=479139432 TSecr=1544198455"
"12078","392.962398","192.168.0.89","192.168.0.222","TCP","107","50902  >  7000 [PSH, ACK] Seq=1 Ack=1 Win=131712 Len=41 TSval=479139432 TSecr=1544198455 [TCP segment of a reassembled PDU]"
"12079","392.962512","192.168.0.222","192.168.0.89","TCP","66","7000  >  50902 [ACK] Seq=1 Ack=42 Win=131712 Len=0 TSval=1544198465 TSecr=479139432"
"12080","392.982612","192.168.0.222","192.168.0.89","TCP","1514","7000  >  50902 [ACK] Seq=1 Ack=42 Win=131712 Len=1448 TSval=1544198486 TSecr=479139432 [TCP segment of a reassembled PDU]"
"12081","392.982729","192.168.0.222","192.168.0.89","TCP","310","7000  >  50902 [PSH, ACK] Seq=1449 Ack=42 Win=131712 Len=244 TSval=1544198486 TSecr=479139432 [TCP segment of a reassembled PDU]"
"12082","392.988721","192.168.0.89","192.168.0.222","TCP","66","50902  >  7000 [ACK] Seq=42 Ack=1693 Win=130048 Len=0 TSval=479139459 TSecr=1544198486"
"12083","392.988723","192.168.0.89","192.168.0.222","TCP","66","50902  >  7000 [FIN, ACK] Seq=42 Ack=1693 Win=131072 Len=0 TSval=479139460 TSecr=1544198486"
"12084","392.988852","192.168.0.222","192.168.0.89","TCP","66","7000  >  50902 [ACK] Seq=1693 Ack=43 Win=131712 Len=0 TSval=1544198492 TSecr=479139460"
"12085","392.989171","192.168.0.222","192.168.0.89","TCP","66","7000  >  50902 [FIN, ACK] Seq=1693 Ack=43 Win=131712 Len=0 TSval=1544198492 TSecr=479139460"
"12086","392.996147","192.168.0.89","192.168.0.222","TCP","66","50902  >  7000 [ACK] Seq=43 Ack=1694 Win=131072 Len=0 TSval=479139465 TSecr=1544198492"
"14133","417.804779","192.168.0.89","192.168.0.222","TCP","78","50905  >  7000 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2371671608 TSecr=0 SACK_PERM"
"14134","417.805336","192.168.0.222","192.168.0.89","TCP","78","7000  >  50905 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 TSval=4015552125 TSecr=2371671608 SACK_PERM"
"14135","417.811820","192.168.0.89","192.168.0.222","TCP","66","50905  >  7000 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2371671618 TSecr=4015552125"
"14136","417.811820","192.168.0.89","192.168.0.222","TCP","107","50905  >  7000 [PSH, ACK] Seq=1 Ack=1 Win=131712 Len=41 TSval=2371671618 TSecr=4015552125 [TCP segment of a reassembled PDU]"
"14137","417.812005","192.168.0.222","192.168.0.89","TCP","66","7000  >  50905 [ACK] Seq=1 Ack=42 Win=131712 Len=0 TSval=4015552132 TSecr=2371671618"
"14138","417.840201","192.168.0.222","192.168.0.89","TCP","1514","7000  >  50905 [ACK] Seq=1 Ack=42 Win=131712 Len=1448 TSval=4015552160 TSecr=2371671618 [TCP segment of a reassembled PDU]"
"14139","417.840457","192.168.0.222","192.168.0.89","TCP","310","7000  >  50905 [PSH, ACK] Seq=1449 Ack=42 Win=131712 Len=244 TSval=4015552160 TSecr=2371671618 [TCP segment of a reassembled PDU]"
"14140","417.846575","192.168.0.89","192.168.0.222","TCP","66","50905  >  7000 [ACK] Seq=42 Ack=1693 Win=130048 Len=0 TSval=2371671652 TSecr=4015552160"
"14141","417.846576","192.168.0.89","192.168.0.222","TCP","66","50905  >  7000 [FIN, ACK] Seq=42 Ack=1693 Win=131072 Len=0 TSval=2371671652 TSecr=4015552160"
"14142","417.846767","192.168.0.222","192.168.0.89","TCP","66","7000  >  50905 [ACK] Seq=1693 Ack=43 Win=131712 Len=0 TSval=4015552167 TSecr=2371671652"
"14143","417.847013","192.168.0.222","192.168.0.89","TCP","66","7000  >  50905 [FIN, ACK] Seq=1693 Ack=43 Win=131712 Len=0 TSval=4015552167 TSecr=2371671652"
"14144","417.853258","192.168.0.89","192.168.0.222","TCP","66","50905  >  7000 [ACK] Seq=43 Ack=1694 Win=131072 Len=0 TSval=2371671658 TSecr=4015552167"
"15832","439.268447","192.168.0.89","192.168.0.222","TCP","78","50908  >  7000 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2676894309 TSecr=0 SACK_PERM"
"15833","439.268851","192.168.0.222","192.168.0.89","TCP","78","7000  >  50908 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 TSval=3743367810 TSecr=2676894309 SACK_PERM"
"15834","439.274723","192.168.0.89","192.168.0.222","TCP","66","50908  >  7000 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2676894317 TSecr=3743367810"
"15835","439.274723","192.168.0.89","192.168.0.222","TCP","107","50908  >  7000 [PSH, ACK] Seq=1 Ack=1 Win=131712 Len=41 TSval=2676894317 TSecr=3743367810 [TCP segment of a reassembled PDU]"
"15836","439.274874","192.168.0.222","192.168.0.89","TCP","66","7000  >  50908 [ACK] Seq=1 Ack=42 Win=131712 Len=0 TSval=3743367816 TSecr=2676894317"
"15838","439.299689","192.168.0.222","192.168.0.89","TCP","1514","7000  >  50908 [ACK] Seq=1 Ack=42 Win=131712 Len=1448 TSval=3743367841 TSecr=2676894317 [TCP segment of a reassembled PDU]"
"15839","439.299786","192.168.0.222","192.168.0.89","TCP","310","7000  >  50908 [PSH, ACK] Seq=1449 Ack=42 Win=131712 Len=244 TSval=3743367841 TSecr=2676894317 [TCP segment of a reassembled PDU]"
"15840","439.303778","192.168.0.89","192.168.0.222","TCP","66","50908  >  7000 [ACK] Seq=42 Ack=1693 Win=130048 Len=0 TSval=2676894345 TSecr=3743367841"
"15841","439.305240","192.168.0.89","192.168.0.222","TCP","66","50908  >  7000 [FIN, ACK] Seq=42 Ack=1693 Win=131072 Len=0 TSval=2676894345 TSecr=3743367841"
"15842","439.305321","192.168.0.222","192.168.0.89","TCP","66","7000  >  50908 [ACK] Seq=1693 Ack=43 Win=131712 Len=0 TSval=3743367846 TSecr=2676894345"
"15843","439.305504","192.168.0.222","192.168.0.89","TCP","66","7000  >  50908 [FIN, ACK] Seq=1693 Ack=43 Win=131712 Len=0 TSval=3743367846 TSecr=2676894345"
"15844","439.312646","192.168.0.89","192.168.0.222","TCP","66","50908  >  7000 [ACK] Seq=43 Ack=1694 Win=131072 Len=0 TSval=2676894352 TSecr=3743367846"
"35411","623.109092","192.168.0.89","192.168.0.222","TCP","78","50911  >  7000 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=813576427 TSecr=0 SACK_PERM"
"35412","623.109697","192.168.0.222","192.168.0.89","TCP","78","7000  >  50911 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=64 TSval=2401671856 TSecr=813576427 SACK_PERM"
"35413","623.118539","192.168.0.89","192.168.0.222","TCP","66","50911  >  7000 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=813576464 TSecr=2401671856"
"35414","623.118540","192.168.0.89","192.168.0.222","TCP","107","50911  >  7000 [PSH, ACK] Seq=1 Ack=1 Win=131712 Len=41 TSval=813576464 TSecr=2401671856 [TCP segment of a reassembled PDU]"
"35415","623.118905","192.168.0.222","192.168.0.89","TCP","66","7000  >  50911 [ACK] Seq=1 Ack=42 Win=131712 Len=0 TSval=2401671866 TSecr=813576464"
"35416","623.153049","192.168.0.222","192.168.0.89","TCP","1514","7000  >  50911 [ACK] Seq=1 Ack=42 Win=131712 Len=1448 TSval=2401671900 TSecr=813576464 [TCP segment of a reassembled PDU]"
"35417","623.153289","192.168.0.222","192.168.0.89","TCP","310","7000  >  50911 [PSH, ACK] Seq=1449 Ack=42 Win=131712 Len=244 TSval=2401671900 TSecr=813576464 [TCP segment of a reassembled PDU]"
"35418","623.159132","192.168.0.89","192.168.0.222","TCP","66","50911  >  7000 [ACK] Seq=42 Ack=1693 Win=130048 Len=0 TSval=813576505 TSecr=2401671900"
"35419","623.159133","192.168.0.89","192.168.0.222","TCP","66","50911  >  7000 [FIN, ACK] Seq=42 Ack=1693 Win=131072 Len=0 TSval=813576505 TSecr=2401671900"
"35420","623.159422","192.168.0.222","192.168.0.89","TCP","66","7000  >  50911 [ACK] Seq=1693 Ack=43 Win=131712 Len=0 TSval=2401671906 TSecr=813576505"
"35421","623.159694","192.168.0.222","192.168.0.89","TCP","66","7000  >  50911 [FIN, ACK] Seq=1693 Ack=43 Win=131712 Len=0 TSval=2401671906 TSecr=813576505"
"35422","623.167583","192.168.0.89","192.168.0.222","TCP","66","50911  >  7000 [ACK] Seq=43 Ack=1694 Win=131072 Len=0 TSval=813576512 TSecr=2401671906"
